Date,Indonesia_Index,Indonesia_ETF,Singapore_Index,Singapore_ETF,Malaysia_Index,Malaysia_ETF,Thailand_Index,Thailand_ETF,Philippines_Index,Philippines_ETF
2015-03-10,5462.7158203125,21.77984046936035,3398.260009765625,16.63779640197754,1789.72998046875,26.219036102294922,1531.0400390625,60.15708541870117,7826.46728515625,37.19933319091797
2015-03-11,5419.35498046875,21.820938110351562,3378.590087890625,16.556835174560547,1778.1600341796875,26.362533569335938,1543.8399658203125,61.015357971191406,7788.697265625,37.45220947265625
2015-03-12,5439.6201171875,21.84559440612793,3373.60009765625,16.705265045166016,1786.8699951171875,26.526531219482422,1544.3399658203125,61.10814666748047,7837.80419921875,37.78636169433594
2015-03-13,5426.2548828125,21.673002243041992,3362.77001953125,16.556835174560547,1781.75,26.239532470703125,1541.550048828125,60.53594970703125,7807.5322265625,37.25352096557617
2015-03-16,5435.05908203125,22.059284210205078,3376.0400390625,16.759241104125977,1780.5400390625,26.60852813720703,1515.5699462890625,60.211204528808594,7728.962890625,37.289649963378906
2015-03-17,5438.94091796875,22.00997543334961,3369.949951171875,16.705265045166016,1787.8699951171875,26.690526962280273,1512.8399658203125,60.218929290771484,7787.09765625,37.25352096557617
2015-03-18,5412.9404296875,22.494882583618164,3361.75,16.92116355895996,1797.5699462890625,27.305513381958008,1531.5,61.98960876464844,7754.5859375,37.45220947265625
2015-03-19,5453.64208984375,22.24831771850586,3386.159912109375,16.799720764160156,1809.1300048828125,26.752025604248047,1532.1300048828125,61.479278564453125,7812.541015625,36.892276763916016
2015-03-20,5442.85302734375,22.462005615234375,3412.43994140625,17.150558471679688,1803.6500244140625,26.875022888183594,1529.9599609375,62.09016036987305,7816.3701171875,37.307708740234375
2015-03-23,5436.88623046875,22.420907974243164,3410.1298828125,17.29899024963379,1795.8499755859375,27.039018630981445,1520.010009765625,61.695796966552734,7838.474609375,37.31673812866211
2015-03-24,5447.43603515625,22.609941482543945,3413.260009765625,17.272001266479492,1814.0400390625,27.387514114379883,1514.449951171875,61.66487503051758,7826.92724609375,37.325775146484375
2015-03-25,5405.2783203125,22.051063537597656,3419.02001953125,17.150558471679688,1819.0999755859375,26.936525344848633,1512.800048828125,60.64420700073242,7834.3251953125,36.79293441772461
2015-03-26,5368.59033203125,21.87847328186035,3431.590087890625,17.29899024963379,1818.4200439453125,27.16202163696289,1496.4100341796875,60.628753662109375,7869.07666015625,37.25352096557617
2015-03-27,5396.64404296875,22.174348831176758,3450.10009765625,17.379955291748047,1813.3699951171875,27.203020095825195,1495.219970703125,60.791114807128906,7875.9345703125,37.50639724731445
2015-03-30,5438.44384765625,22.700349807739258,3454.260009765625,17.36646270751953,1821.8299560546875,27.326019287109375,1496.510009765625,61.32465362548828,7897.37939453125,37.96698760986328
2015-03-31,5518.4599609375,22.80719566345215,3447.010009765625,17.272001266479492,1830.780029296875,27.244014739990234,1505.93994140625,61.37104034423828,7938.44873046875,37.569610595703125
2015-04-01,5466.65478515625,22.80719566345215,3447.02001953125,17.39344596862793,1826.31005859375,27.387514114379883,1525.5799560546875,62.36851501464844,7991.03515625,38.228885650634766
2015-04-02,5456.18701171875,22.716785430908203,3453.75,17.595853805541992,1831.969970703125,27.756511688232422,1532.22998046875,63.033477783203125,,38.71657180786133
2015-04-06,5479.8173828125,22.988008499145508,3452.909912109375,17.636335372924805,1842.93994140625,28.228002548217773,,63.01027297973633,8051.669921875,38.76171875
2015-04-07,5523.07470703125,22.914039611816406,3465.6201171875,17.528385162353516,1856.510009765625,28.02300453186035,1549.530029296875,63.46647262573242,8096.59814453125,38.499820709228516
2015-04-08,5486.3701171875,22.85651206970215,3460.679931640625,17.730789184570312,1850.31005859375,28.14599609375,1544.8599853515625,63.543800354003906,8050.61962890625,38.526912689208984
2015-04-09,5500.68603515625,23.00444793701172,3460.300048828125,17.663320541381836,1849.3900146484375,28.18699836730957,1545.1099853515625,63.644325256347656,,38.65336227416992
2015-04-10,5491.1259765625,22.897598266601562,3472.3798828125,17.622840881347656,1844.31005859375,27.797504425048828,1547.8299560546875,63.60566329956055,8125.390625,38.770755767822266
2015-04-13,5447.197265625,22.363380432128906,3484.389892578125,17.555374145507812,1842.0799560546875,27.203020095825195,,63.39689636230469,8071.1748046875,38.01213455200195
2015-04-14,5418.89599609375,22.478439331054688,3521.080078125,17.933197021484375,1839.6099853515625,27.387514114379883,,63.8144416809082,8054.4189453125,38.102447509765625
2015-04-15,5414.33642578125,22.683914184570312,3539.949951171875,18.14909553527832,1840.1300048828125,27.736007690429688,,64.12373352050781,7904.42724609375,37.69605255126953
2015-04-16,5420.52197265625,22.74144172668457,3531.610107421875,18.189577102661133,1847.93994140625,28.125497817993164,1570.0,65.1289291381836,7946.15673828125,37.75926971435547
2015-04-17,5410.43359375,22.66747283935547,3525.18994140625,18.14909553527832,1845.8599853515625,28.06399917602539,1566.8499755859375,65.05933380126953,7944.84716796875,37.840553283691406
